Couldn't open C:\dev\Godot/godot.windows.opt.tools.64.pck
Couldn't open godot.windows.opt.tools.64.pck
OpenGL ES 3.0 Renderer: Intel(R) Iris(TM) Graphics 540
GLES3: max ubo light: 409
GLES3: max ubo reflections: 455, ubo size: 144
Registered interface Native mobile
(148.544189, 65.400192)
(148.544189, 65.400192)
(148.544189, 65.400192)
(148.451782, 65.400192)
(148.220474, 65.400192)
(147.850281, 65.400192)
(147.341202, 65.400192)
(146.693237, 65.400192)
(145.906387, 65.400192)
(144.980637, 65.400192)
(143.916, 65.400192)
(142.712479, 65.400192)
(141.370071, 65.400192)
(139.888763, 65.400192)
(138.26857, 65.400192)
(136.601898, 65.400192)
(134.935226, 65.400192)
(133.268555, 65.400192)
(131.601883, 65.400192)
(129.935211, 65.400192)
(128.268539, 65.400192)
(126.601875, 65.400192)
(124.935211, 65.400192)
(123.268547, 65.400192)
(121.601883, 65.400192)
(119.935219, 65.400192)
(118.268555, 65.400192)
(116.601891, 65.400192)
(114.935226, 65.400192)
(113.268562, 65.400192)
(111.601898, 65.400192)
(109.935234, 65.400192)
(108.26857, 65.400192)
(106.601906, 65.400192)
(104.935242, 65.400192)
(103.268578, 65.400192)
(101.601913, 65.400192)
(99.935249, 65.400192)
(98.268585, 65.400192)
(96.601921, 65.400192)
(94.935257, 65.400192)
(93.268593, 65.400192)
(91.601929, 65.400192)
(89.935265, 65.400192)
(88.2686, 65.400192)
(86.601936, 65.400192)
(84.935272, 65.400192)
(83.268608, 65.400192)
(81.601944, 65.400192)
(79.93528, 65.400192)
(78.268616, 65.400192)
(76.601952, 65.400192)
(74.935287, 65.400192)
(73.268623, 65.400192)
(71.601959, 65.400192)
(69.935295, 65.400192)
(68.268631, 65.400192)
(66.601967, 65.400192)
(64.935303, 65.400192)
(63.268635, 65.400192)
(61.601967, 65.400192)
(59.935299, 65.400192)
(58.268631, 65.400192)
(56.601963, 65.400192)
(54.935295, 65.400192)
(53.268627, 65.400192)
(51.601959, 65.400192)
(49.935291, 65.400192)
(48.268623, 65.400192)
(46.601955, 65.400192)
(44.935287, 65.400192)
(43.26862, 65.400192)
(41.601952, 65.400192)
(39.935284, 65.400192)
(38.268616, 65.400192)
(36.601948, 65.400192)
(34.93528, 65.400192)
(33.268612, 65.400192)
(31.601946, 65.400192)
(29.93528, 65.400192)
(28.268614, 65.400192)
(26.601948, 65.400192)
(24.935282, 65.400192)
(23.268616, 65.400192)
(21.60195, 65.400192)
(20.398247, 65.400192)
(19.333431, 65.400192)
(18.407505, 65.400192)
(17.620468, 65.400192)
(16.972321, 65.400192)
(16.463062, 65.400192)
(16.092691, 65.400192)
(15.86121, 65.400192)
(15.768618, 65.400192)
(15.768618, 65.400192)
(15.953803, 65.400192)
(16.277878, 65.400192)
(16.740841, 65.400192)
(17.342693, 65.400192)
(18.083435, 65.400192)
(18.963066, 65.400192)
(19.981585, 65.400192)
(21.138992, 65.400192)
(22.435289, 65.400192)
(23.870476, 65.400192)
(25.44455, 65.400192)
(27.111216, 65.400192)
(28.777882, 65.400192)
(30.444548, 65.400192)
(32.111214, 65.400192)
(33.777882, 65.400192)
(35.44455, 65.400192)
(37.111217, 65.400192)
(38.777885, 62.20575)
(40.444553, 59.150192)
(42.111221, 56.233524)
(43.777889, 53.455746)
(45.444557, 50.816856)
(47.111225, 48.316856)
(48.777893, 45.955746)
(50.444561, 43.733524)
(52.111229, 41.650192)
(53.777897, 39.705746)
(55.444565, 37.900188)
(57.111233, 36.233521)
(58.777901, 34.705742)
(60.444569, 33.316853)
(62.111237, 32.066853)
(63.777905, 30.955742)
(65.444572, 29.983519)
(67.111237, 29.150185)
(68.777901, 28.45574)
(70.444565, 27.900185)
(72.111229, 27.483519)
(73.777893, 27.20574)
(75.444557, 27.066851)
(77.111221, 27.066851)
(78.777885, 27.20574)
(80.44455, 27.483517)
(82.111214, 27.900183)
(83.777878, 28.455738)
(85.444542, 29.150183)
(87.111206, 29.983517)
(88.77787, 30.955738)
(90.444534, 32.066849)
(92.111198, 33.316849)
(93.777863, 34.705738)
(95.444527, 36.233517)
(97.111191, 37.900185)
(98.777855, 39.705742)
(100.444519, 41.650188)
(102.111183, 43.733521)
(103.777847, 45.955742)
(105.444511, 48.316853)
(107.111176, 50.816853)
(108.77784, 53.455742)
(110.444504, 56.233521)
(112.111168, 59.150188)
(113.777832, 62.205746)
(115.444496, 65.400192)
(117.11116, 65.400307)
(118.777832, 65.359543)
(120.444504, 65.356865)
(122.111176, 65.355865)
(123.638954, 65.353859)
(125.027847, 65.352455)
(126.277847, 65.400291)
(127.388962, 65.400291)
(128.361176, 65.400299)
(129.194504, 65.400299)
(129.888947, 65.400299)
(130.444504, 65.400307)
(130.861176, 65.400307)
(131.138947, 62.20575)
(131.277832, 59.150192)
(131.277832, 56.233524)
(131.138947, 53.455746)
(130.861176, 50.816856)
(130.444504, 48.316856)
(129.888947, 45.955746)
(129.194504, 43.733524)
(128.361176, 41.650192)
(127.388954, 39.705746)
(126.27784, 37.900188)
(125.02784, 36.233521)
(123.638947, 34.705742)
(122.111168, 33.316853)
(120.444504, 32.066853)
(118.77784, 30.955742)
(117.111176, 29.983519)
(115.444511, 29.150185)
(113.777847, 28.45574)
(112.111183, 27.900185)
(110.444519, 27.483519)
(108.777855, 27.20574)
(107.111191, 27.066851)
(105.444527, 27.066851)
(103.777863, 27.20574)
(102.111198, 27.483517)
(100.444534, 27.900183)
(98.77787, 28.455738)
(97.111206, 29.150183)
(95.444542, 29.983517)
(93.777878, 30.955738)
(92.111214, 32.066849)
(90.44455, 33.316849)
(88.777885, 34.705738)
(87.111221, 36.233517)
(85.444557, 37.900185)
(83.777893, 39.705742)
(82.111229, 41.650188)
(80.444565, 43.733521)
(78.777901, 45.955742)
(77.111237, 48.316853)
(75.444572, 50.816853)
(73.777908, 53.455742)
(72.111244, 56.233521)
(70.44458, 59.150188)
(68.777916, 62.205746)
(67.111252, 65.400192)
(65.444588, 65.400307)
(63.77792, 65.400291)
(62.111256, 65.400299)
(60.444592, 65.400299)
(59.240887, 65.400307)
(58.371544, 65.353027)
(57.743687, 65.360123)
(57.290234, 65.353584)
(56.962742, 65.355225)
(56.726219, 65.362709)
(56.555393, 65.356262)
(56.432022, 65.358177)
(56.342922, 65.35508)
(56.342922, 65.35508)
(56.342922, 65.35508)
(56.342922, 65.35508)
(56.342922, 65.35508)
(56.342922, 65.35508)
